Date,Grade,Team 1,Elo_1,G_1,P_1,Sc_1,Team 2,Elo_2,G_2,P_2,Sc_2,Home,Margin,Weight,T1_win_odds,Result_T1,Result_T2
16-03-2024,League,Armagh,607,0,19,19,Louth,463,2,10,16,Y,1.1875,40,79.48%,10,-10
16-03-2024,League,Cavan,247,2,13,19,Monaghan,549,0,13,13,Y,1.461538462,40,33.18%,39,-39
16-03-2024,League,Sligo,866,0,14,14,Mayo,844,2,12,18,Y,1.285714286,40,68.83%,-35,35
16-03-2024,League,Fermanagh,512,0,11,11,Longford,434,0,7,7,Y,1.571428571,40,74.08%,16,-16
16-03-2024,League,Warwickshire,176,3,23,32,Lancashire,257,3,17,26,Y,1.230769231,40,57.88%,21,-21
17-03-2024,League,Derry,1159,2,31,37,Roscommon,781,0,14,14,Y,2,40,91.92%,6,-6
23-03-2024,League,Donegal,1019,2,26,32,London,938,1,16,19,Y,1.684210526,40,74.34%,17,-17
23-03-2024,League,Tyrone,873,1,29,32,Wicklow,898,2,17,23,Y,1.391304348,40,64.01%,20,-20
23-03-2024,League,Limerick,2413,1,15,18,Kilkenny,2160,3,17,26,N,1.444444444,40,76.23%,-44,44
23-03-2024,League,Laois,1520,1,24,27,Down,1213,0,13,13,Y,2,40,89.13%,9,-9
23-03-2024,League,Donegal,1036,3,14,23,Tyrone,893,5,9,24,Y,1.043478261,40,79.40%,-33,33
23-03-2024,League,Sligo,831,0,22,22,Cavan,286,1,14,17,Y,1.294117647,40,96.09%,2,-2
23-03-2024,League,Longford,418,1,12,15,Warwickshire,197,1,16,19,Y,1.266666667,40,84.66%,-43,43
24-03-2024,League,Clare,2147,1,24,27,Tipperary,2096,2,13,19,N,1.421052632,40,55.84%,25,-25
30-03-2024,League,Derry,1165,1,14,17,Tyrone,926,1,8,11,Y,1.545454545,40,85.71%,9,-9
31-03-2024,League,Carlow,1524,1,12,15,Laois,1529,2,22,28,Y,1.866666667,40,66.10%,-49,49
31-03-2024,League,Mayo,879,3,19,28,Sligo,833,3,16,25,Y,1.12,40,71.15%,13,-13
31-03-2024,League,Fermanagh,528,1,13,16,Warwickshire,240,1,18,21,Y,1.3125,40,88.26%,-46,46
06-04-2024,League,Clare,2172,3,16,25,Kilkenny,2204,1,20,23,N,1.086956522,40,46.32%,23,-23
13-04-2024,Secondary,Sligo,820,2,8,14,Kildare,1256,2,19,25,Y,1.785714286,50,21.13%,-19,19
13-04-2024,Secondary,Armagh,617,1,12,15,Donegal,1003,0,22,22,Y,1.466666667,50,25.22%,-18,18
13-04-2024,Secondary,Roscommon,775,1,20,23,Louth,453,1,14,17,Y,1.352941176,50,89.79%,7,-7
13-04-2024,Secondary,Longford,375,2,22,28,Lancashire,236,0,10,10,Y,2,50,79.10%,21,-21
13-04-2024,Secondary,Leitrim,286,1,9,12,Fermanagh,482,0,19,19,Y,1.583333333,50,44.72%,-35,35
13-04-2024,Secondary,Cavan,284,1,22,25,Warwickshire,286,2,13,19,Y,1.315789474,50,66.41%,22,-22
14-04-2024,Secondary,Wicklow,878,0,12,12,Derry,1174,0,17,17,Y,1.416666667,50,33.80%,-24,24
14-04-2024,Secondary,Tyrone,917,2,12,18,London,921,2,23,29,Y,1.611111111,50,66.20%,-53,53
14-04-2024,Secondary,Mayo,892,4,24,36,Monaghan,510,2,8,14,Y,2,50,92.06%,8,-8
20-04-2024,Secondary,Down,1204,3,24,33,Meath,1178,0,25,25,Y,1.32,50,69.22%,20,-20
20-04-2024,Secondary,Derry,1198,2,26,32,Tyrone,864,0,13,13,Y,2,50,90.28%,10,-10
20-04-2024,Secondary,London,974,4,26,38,Sligo,801,0,12,12,Y,2,50,81.57%,18,-18
20-04-2024,Secondary,Monaghan,502,0,16,16,Roscommon,782,4,17,29,Y,1.8125,50,35.46%,-32,32
20-04-2024,Secondary,Donegal,1021,0,21,21,Mayo,900,0,14,14,Y,1.5,50,77.70%,17,-17
20-04-2024,Secondary,Fermanagh,517,5,12,27,Cavan,306,3,18,27,Y,1,50,84.06%,-17,17
20-04-2024,Secondary,Lancashire,215,1,20,23,Leitrim,251,2,25,31,N,1.347826087,50,45.86%,-31,31
21-04-2024,Provincial,Waterford,1901,2,25,31,Cork,2105,1,25,28,Y,1.107142857,60,43.81%,37,-37
21-04-2024,Provincial,Clare,2195,1,18,21,Limerick,2369,3,15,24,Y,1.142857143,60,47.24%,-32,32
21-04-2024,Provincial,Kilkenny,2181,5,30,45,Antrim,1514,0,13,13,Y,2,60,97.73%,3,-3
21-04-2024,Provincial,Wexford,1845,1,21,24,Dublin,1850,2,18,24,Y,1,60,66.10%,-10,10
21-04-2024,Provincial,Galway,2135,2,25,31,Carlow,1475,2,14,20,Y,1.55,60,97.66%,2,-2
21-04-2024,Secondary,Laois,1578,2,21,27,Offaly,1498,0,24,24,Y,1.125,50,74.25%,14,-14
21-04-2024,Secondary,Westmeath,1524,1,14,17,Kerry,1291,1,20,23,Y,1.352941176,50,85.37%,-58,58
21-04-2024,Secondary,Kildare,1275,3,27,36,Wicklow,854,0,14,14,Y,2,50,93.27%,7,-7
21-04-2024,Secondary,Louth,446,0,17,17,Armagh,599,0,18,18,Y,1.058823529,50,49.65%,-26,26
21-04-2024,Secondary,Warwickshire,264,2,21,27,Longford,396,2,16,22,Y,1.227272727,50,52.07%,29,-29
27-04-2024,Provincial,Carlow,1473,0,22,22,Dublin,1860,1,24,27,Y,1.227272727,60,25.13%,-19,19
27-04-2024,Provincial,Antrim,1511,2,22,28,Wexford,1835,2,20,26,Y,1.076923077,60,30.97%,45,-45
27-04-2024,Secondary,Offaly,1484,2,23,29,Westmeath,1466,1,20,23,Y,1.260869565,50,68.43%,20,-20
27-04-2024,Secondary,Meath,1158,1,16,19,Laois,1592,7,29,50,Y,2,50,21.28%,-21,21
